Std No,Section,D1,D2
1913012,19101,50,53
1913013,19101,52,51
1913021,19101,,48
1913023,19101,53,53
1913024,19101,50,52
1913521,19101,30,0
1895173,19101,48,50
1895169,19101,48,
1913040,19101,50,53
1913041,19101,40,48
1913046,19101,50,56
1913044,19101,45,48
1913084,19101,56,
1913048,19101,48,56
1913052,19101,56,58
1913054,19101,51,55
1913060,19101,51,56
1913097,19101,52,56
1913502,19101,48,53
1895119,19101,,60
1913069,19101,48,53
1913093,19101,50,56
1913463,19101,35,43
1913083,19101,58,62
1913067,19101,40,48
1913088,19101,52,58
1913503,19101,53,56
1913544,19101,36,46
1913091,19101,50,57
1913061,19101,58,61
1913431,19101,30,0
1824345,19101,15,35
1913479,19101,40,45
